zipcode,city,state
36310,Abbeville,AL
35440,Abernant,AL
35005,Adamsville,AL
35060,Adamsville,AL
35062,Adamsville,AL
35073,Adamsville,AL
35118,Adamsville,AL
35214,Adamsville,AL
35224,Adamsville,AL
35540,Addison,AL
35006,Adger,AL
35441,Akron,AL
35007,Alabaster,AL
35040,Alabaster,AL
35080,Alabaster,AL
35114,Alabaster,AL
35115,Alabaster,AL
35124,Alabaster,AL
35137,Alabaster,AL
35144,Alabaster,AL
36720,Alberta,AL
35950,Albertville,AL
35951,Albertville,AL
35957,Albertville,AL
35976,Albertville,AL
35010,"Alexander City",AL
35011,"Alexander City",AL
35089,"Alexander City",AL
36861,"Alexander City",AL
36250,Alexandria,AL
36265,Alexandria,AL
36279,Alexandria,AL
35442,Aliceville,AL
35013,Allgood,AL
35121,Allgood,AL
36501,Alma,AL
35014,Alpine,AL
35015,Alton,AL
35952,Altoona,AL
36420,Andalusia,AL
36421,Andalusia,AL
35610,Anderson,AL
36721,Annemanie,AL
36201,Anniston,AL
36202,Anniston,AL
36203,Anniston,AL
36204,Anniston,AL
36205,Anniston,AL
36206,Anniston,AL
36207,Anniston,AL
36210,Anniston,AL
36254,Anniston,AL
36257,Anniston,AL
35016,Arab,AL
35739,Ardmore,AL
36311,Ariton,AL
35541,Arley,AL
36722,Arlington,AL
36312,Ashford,AL
36251,Ashland,AL
35953,Ashville,AL
35987,Ashville,AL
35611,Athens,AL
35612,Athens,AL
35613,Athens,AL
35614,Athens,AL
35671,Athens,AL
35756,Athens,AL
36502,Atmore,AL
36503,Atmore,AL
36504,Atmore,AL
35954,Attalla,AL
36801,Auburn,AL
36804,Auburn,AL
36830,Auburn,AL
36831,Auburn,AL
36832,Auburn,AL
36849,Auburn,AL
36879,Auburn,AL
36849,"Auburn University",AL
36003,Autaugaville,AL
36067,Autaugaville,AL
36505,Axis,AL
35019,Baileyton,AL
35083,Baileyton,AL
35087,Baileyton,AL
36005,Banks,AL
36081,Banks,AL
35542,Bankston,AL
36507,"Bay Minette",AL
36509,"Bayou La Batre",AL
36523,"Bayou La Batre",AL
36544,"Bayou La Batre",AL
