zipcode,city,state
72001,Adona,AR
72002,Alexander,AR
72022,Alexander,AR
72410,Alicia,AR
72820,Alix,AR
71820,Alleene,AR
72921,Alma,AR
72003,Almyra,AR
72611,Alpena,AR
71920,Alpine,AR
72004,Altheimer,AR
72821,Altus,AR
72949,Altus,AR
72005,Amagon,AR
71921,Amity,AR
71922,Antoine,AR
71923,Arkadelphia,AR
71998,Arkadelphia,AR
71999,Arkadelphia,AR
71630,"Arkansas City",AR
72310,Armorel,AR
72513,"Ash Flat",AR
71820,Ashdown,AR
71822,Ashdown,AR
72823,Atkins,AR
72311,Aubrey,AR
72360,Aubrey,AR
72006,Augusta,AR
72007,Austin,AR
72023,Austin,AR
72176,Austin,AR
72711,Avoca,AR
72756,Avoca,AR
72010,"Bald Knob",AR
71631,Banks,AR
72923,Barling,AR
72941,Barling,AR
72312,Barton,AR
72313,Bassett,AR
72350,Bassett,AR
72501,Batesville,AR
72503,Batesville,AR
72002,Bauxite,AR
72011,Bauxite,AR
72022,Bauxite,AR
72411,Bay,AR
71720,Bearden,AR
72613,Beaver,AR
72631,Beaver,AR
72013,"Bee Branch",AR
72012,Beebe,AR
72412,"Beech Grove",AR
72014,Beedeville,AR
72101,Beedeville,AR
71721,Beirne,AR
72712,"Bella Vista",AR
72714,"Bella Vista",AR
72715,"Bella Vista",AR
72736,"Bella Vista",AR
72751,"Bella Vista",AR
72824,Belleville,AR
71823,"Ben Lomond",AR
71846,"Ben Lomond",AR
72002,Benton,AR
72011,Benton,AR
72015,Benton,AR
72018,Benton,AR
72019,Benton,AR
72022,Benton,AR
72158,Benton,AR
72712,Bentonville,AR
72714,Bentonville,AR
72716,Bentonville,AR
72756,Bentonville,AR
72601,Bergman,AR
72615,Bergman,AR
72616,Berryville,AR
72515,Bexar,AR
72617,"Big Flat",AR
72016,Bigelow,AR
72413,Biggers,AR
72017,Biscoe,AR
71929,Bismarck,AR
72414,"Black Oak",AR
72415,"Black Rock",AR
72476,"Black Rock",AR
71825,Blevins,AR
72826,"Blue Mountain",AR
72943,"Blue Mountain",AR
71722,"Bluff City",AR
71857,"Bluff City",AR
72827,Bluffton,AR
72315,Blytheville,AR
72316,Blytheville,AR
71932,"Board Camp",AR
72926,Boles,AR
71933,Bonnerdale,AR
72416,Bono,AR
72927,Booneville,AR
72020,Bradford,AR
71826,Bradley,AR
72928,Branch,AR
72933,Branch,AR
72320,Brickeys,AR
72828,Briggsville,AR
72021,Brinkley,AR
72517,Brockwell,AR
72401,Brookland,AR
72417,Brookland,AR
72002,Bryant,AR
72011,Bryant,AR
72015,Bryant,AR
72019,Bryant,AR
72022,Bryant,AR
72089,Bryant,AR
71827,Buckner,AR
72619,"Bull Shoals",AR
72634,"Bull Shoals",AR
72321,Burdette,AR
72358,Burdette,AR
72007,Cabot,AR
72023,Cabot,AR
71935,"Caddo Gap",AR
72322,Caldwell,AR
72326,Caldwell,AR
72335,Caldwell,AR
71828,Cale,AR
71858,Cale,AR
72519,"Calico Rock",AR
71724,Calion,AR
71730,Calion,AR
71701,Camden,AR
71711,Camden,AR
72520,Camp,AR
72717,Canehill,AR
72419,Caraway,AR
72024,Carlisle,AR
71725,Carthage,AR
72084,Carthage,AR
72025,Casa,AR
