zipcode,city,state
85320,Aguila,AZ
85321,Ajo,AZ
85920,Alpine,AZ
85645,Amado,AZ
85646,Amado,AZ
85119,"Apache Junction",AZ
85120,"Apache Junction",AZ
85601,Arivaca,AZ
85123,"Arizona City",AZ
85193,"Arizona City",AZ
85322,Arlington,AZ
86320,"Ash Fork",AZ
85323,Avondale,AZ
85329,Avondale,AZ
85338,Avondale,AZ
85340,Avondale,AZ
85353,Avondale,AZ
85392,Avondale,AZ
86321,Bagdad,AZ
85121,Bapchule,AZ
86015,Bellemont,AZ
85602,Benson,AZ
85630,Benson,AZ
85603,Bisbee,AZ
85324,"Black Canyon City",AZ
85922,Blue,AZ
86520,"Blue Gap",AZ
85325,Bouse,AZ
85348,Bouse,AZ
85605,Bowie,AZ
85326,Buckeye,AZ
85337,Buckeye,AZ
85340,Buckeye,AZ
85342,Buckeye,AZ
85343,Buckeye,AZ
85361,Buckeye,AZ
85390,Buckeye,AZ
85396,Buckeye,AZ
86429,"Bullhead City",AZ
86430,"Bullhead City",AZ
86439,"Bullhead City",AZ
86442,"Bullhead City",AZ
85530,Bylas,AZ
86020,Cameron,AZ
86322,"Camp Verde",AZ
86326,"Camp Verde",AZ
86327,"Camp Verde",AZ
85266,Carefree,AZ
85331,Carefree,AZ
85377,Carefree,AZ
85122,"Casa Grande",AZ
85131,"Casa Grande",AZ
85172,"Casa Grande",AZ
85193,"Casa Grande",AZ
85194,"Casa Grande",AZ
85329,Cashion,AZ
85737,Catalina,AZ
85739,Catalina,AZ
85086,"Cave Creek",AZ
85087,"Cave Creek",AZ
85327,"Cave Creek",AZ
85331,"Cave Creek",AZ
85377,"Cave Creek",AZ
85531,Central,AZ
85543,Central,AZ
86502,Chambers,AZ
85224,Chandler,AZ
85225,Chandler,AZ
85226,Chandler,AZ
85233,Chandler,AZ
85244,Chandler,AZ
85246,Chandler,AZ
85248,Chandler,AZ
85249,Chandler,AZ
85284,Chandler,AZ
85286,Chandler,AZ
85127,"Chandler Heights",AZ
86503,Chinle,AZ
86314,"Chino Valley",AZ
86315,"Chino Valley",AZ
86323,"Chino Valley",AZ
86334,"Chino Valley",AZ
86431,Chloride,AZ
85911,Cibecue,AZ
85328,Cibola,AZ
85334,Cibola,AZ
86324,Clarkdale,AZ
86326,Clarkdale,AZ
85923,"Clay Springs",AZ
85532,Claypool,AZ
85539,Claypool,AZ
85533,Clifton,AZ
85540,Clifton,AZ
85606,Cochise,AZ
84784,"Colorado City",AZ
86021,"Colorado City",AZ
85924,Concho,AZ
85332,Congress,AZ
85128,Coolidge,AZ
85132,Coolidge,AZ
85194,Coolidge,AZ
86325,Cornville,AZ
85652,Cortaro,AZ
86324,Cottonwood,AZ
86325,Cottonwood,AZ
86326,Cottonwood,AZ
86503,Cottonwood,AZ
86343,"Crown King",AZ
85333,Dateland,AZ
85347,Dateland,AZ
86535,Dennehotso,AZ
86327,Dewey,AZ
86441,"Dolan Springs",AZ
85607,Douglas,AZ
85608,Douglas,AZ
85626,Douglas,AZ
85655,Douglas,AZ
85609,Dragoon,AZ
85534,Duncan,AZ
85925,Eagar,AZ
85938,Eagar,AZ
85535,Eden,AZ
85334,Ehrenberg,AZ
85346,Ehrenberg,AZ
85307,"El Mirage",AZ
85335,"El Mirage",AZ
85610,Elfrida,AZ
85611,Elgin,AZ
85123,Eloy,AZ
85131,Eloy,AZ
85141,Eloy,AZ
85193,Eloy,AZ
85194,Eloy,AZ
86001,Flagstaff,AZ
86003,Flagstaff,AZ
86004,Flagstaff,AZ
86011,Flagstaff,AZ
85128,Florence,AZ
85132,Florence,AZ
85143,Florence,AZ
85931,"Forest Lakes",AZ
85926,"Fort Apache",AZ
86504,"Fort Defiance",AZ
85613,"Fort Huachuca",AZ
85264,"Fort Mcdowell",AZ
86426,"Fort Mohave",AZ
86427,"Fort Mohave",AZ
86440,"Fort Mohave",AZ
86442,"Fort Mohave",AZ
85536,"Fort Thomas",AZ
85259,"Fountain Hills",AZ
85268,"Fountain Hills",AZ
85269,"Fountain Hills",AZ
86022,Fredonia,AZ
85336,Gadsden,AZ
85350,Gadsden,AZ
86505,Ganado,AZ
85322,"Gila Bend",AZ
85326,"Gila Bend",AZ
85337,"Gila Bend",AZ
85142,Gilbert,AZ
85206,Gilbert,AZ
85209,Gilbert,AZ
85212,Gilbert,AZ
85233,Gilbert,AZ
85234,Gilbert,AZ
85295,Gilbert,AZ
85296,Gilbert,AZ
85297,Gilbert,AZ
85298,Gilbert,AZ
85299,Gilbert,AZ
85301,Glendale,AZ
85302,Glendale,AZ
85303,Glendale,AZ
85304,Glendale,AZ
85305,Glendale,AZ
85306,Glendale,AZ
85307,Glendale,AZ
85308,Glendale,AZ
85309,Glendale,AZ
85310,Glendale,AZ
85311,Glendale,AZ
85312,Glendale,AZ
85318,Glendale,AZ
85340,Glendale,AZ
85345,Glendale,AZ
85355,Glendale,AZ
85381,Glendale,AZ
85382,Glendale,AZ
85501,Globe,AZ
85502,Globe,AZ
85539,Globe,AZ
86413,"Golden Valley",AZ
85139,Goodyear,AZ
85323,Goodyear,AZ
85326,Goodyear,AZ
85338,Goodyear,AZ
85340,Goodyear,AZ
85395,Goodyear,AZ
86023,"Grand Canyon",AZ
86016,"Gray Mountain",AZ
85614,"Green Valley",AZ
85622,"Green Valley",AZ
85927,Greer,AZ
86401,Hackberry,AZ
86411,Hackberry,AZ
86437,Hackberry,AZ
86024,"Happy Jack",AZ
85135,Hayden,AZ
85192,Hayden,AZ
85235,Hayden,AZ
85928,Heber,AZ
85615,Hereford,AZ
85236,Higley,AZ
86025,Holbrook,AZ
86032,Holbrook,AZ
86030,Hotevilla,AZ
86506,Houck,AZ
86512,Houck,AZ
85616,"Huachuca City",AZ
86409,Hualapai,AZ
86329,Humboldt,AZ
86031,"Indian Wells",AZ
86305,"Iron Springs",AZ
86331,Jerome,AZ
86032,"Joseph City",AZ
86053,Kaibito,AZ
86033,Kayenta,AZ
86034,"Keams Canyon",AZ
85137,Kearny,AZ
86401,Kingman,AZ
86409,Kingman,AZ
86332,Kirkland,AZ
86030,"Kykotsmovi Village",AZ
86039,"Kykotsmovi Village",AZ
86403,"Lake Havasu City",AZ
86404,"Lake Havasu City",AZ
86405,"Lake Havasu City",AZ
86406,"Lake Havasu City",AZ
86335,"Lake Montezuma",AZ
86342,"Lake Montezuma",AZ
85929,Lakeside,AZ
85339,Laveen,AZ
86004,Leupp,AZ
86035,Leupp,AZ
85340,"Litchfield Park",AZ
85392,"Litchfield Park",AZ
