zipcode,city,state
95220,Acampo,CA
91390,Acton,CA
93510,Acton,CA
93550,Acton,CA
93551,Acton,CA
92301,Adelanto,CA
92368,Adelanto,CA
92371,Adelanto,CA
92394,Adelanto,CA
96006,Adin,CA
91301,"Agoura Hills",CA
91376,"Agoura Hills",CA
92536,Aguanga,CA
93601,Ahwahnee,CA
93644,Ahwahnee,CA
94501,Alameda,CA
94502,Alameda,CA
94606,Alameda,CA
94621,Alameda,CA
94507,Alamo,CA
94706,Albany,CA
94710,Albany,CA
95410,Albion,CA
95456,Albion,CA
95511,Alderpoint,CA
91801,Alhambra,CA
91802,Alhambra,CA
91803,Alhambra,CA
91841,Alhambra,CA
91896,Alhambra,CA
91899,Alhambra,CA
92651,"Aliso Viejo",CA
92653,"Aliso Viejo",CA
92656,"Aliso Viejo",CA
92677,"Aliso Viejo",CA
95910,Alleghany,CA
93201,Alpaugh,CA
91901,Alpine,CA
91903,Alpine,CA
92019,Alpine,CA
95701,Alta,CA
95714,Alta,CA
91001,Altadena,CA
91003,Altadena,CA
91104,Altadena,CA
91107,Altadena,CA
95221,Altaville,CA
96101,Alturas,CA
95002,Alviso,CA
95601,"Amador City",CA
95685,"Amador City",CA
92304,Amboy,CA
94503,"American Canyon",CA
94589,"American Canyon",CA
92801,Anaheim,CA
92802,Anaheim,CA
92803,Anaheim,CA
92804,Anaheim,CA
92805,Anaheim,CA
92806,Anaheim,CA
92807,Anaheim,CA
92808,Anaheim,CA
92811,Anaheim,CA
92812,Anaheim,CA
92814,Anaheim,CA
92815,Anaheim,CA
92816,Anaheim,CA
92817,Anaheim,CA
92825,Anaheim,CA
92850,Anaheim,CA
92887,Anaheim,CA
96007,Anderson,CA
95221,"Angels Camp",CA
92305,"Angelus Oaks",CA
94508,Angwin,CA
95412,Annapolis,CA
95621,Antelope,CA
95843,Antelope,CA
94509,Antioch,CA
94513,Antioch,CA
94531,Antioch,CA
94561,Antioch,CA
94565,Antioch,CA
92539,Anza,CA
92561,Anza,CA
92307,"Apple Valley",CA
92308,"Apple Valley",CA
