zipcode,city,state
32615,Alachua,FL
32616,Alachua,FL
32643,Alachua,FL
32653,Alachua,FL
32420,Alford,FL
32701,"Altamonte Springs",FL
32714,"Altamonte Springs",FL
32715,"Altamonte Springs",FL
32716,"Altamonte Springs",FL
32751,"Altamonte Springs",FL
32421,Altha,FL
32702,Altoona,FL
33830,Alturas,FL
33841,Alturas,FL
33859,Alturas,FL
33920,Alva,FL
34216,"Anna Maria",FL
32617,Anthony,FL
32320,Apalachicola,FL
32329,Apalachicola,FL
33534,"Apollo Beach",FL
33570,"Apollo Beach",FL
33572,"Apollo Beach",FL
33573,"Apollo Beach",FL
32703,Apopka,FL
32704,Apopka,FL
32712,Apopka,FL
32768,Apopka,FL
32776,Apopka,FL
34265,Arcadia,FL
34266,Arcadia,FL
32618,Archer,FL
32422,Argyle,FL
34607,Aripeka,FL
34667,Aripeka,FL
34679,Aripeka,FL
32778,Astatula,FL
34705,Astatula,FL
32102,Astor,FL
32233,"Atlantic Beach",FL
33823,Auburndale,FL
33850,Auburndale,FL
33868,Auburndale,FL
33880,Auburndale,FL
33881,Auburndale,FL
33825,"Avon Park",FL
33826,"Avon Park",FL
33827,"Babson Park",FL
32530,Bagdad,FL
32583,Bagdad,FL
32531,Baker,FL
33503,Balm,FL
33579,Balm,FL
33598,Balm,FL
32105,Barberville,FL
33830,Bartow,FL
33831,Bartow,FL
33880,Bartow,FL
32423,Bascom,FL
33708,"Bay Pines",FL
33744,"Bay Pines",FL
33772,"Bay Pines",FL
32619,Bell,FL
33430,"Belle Glade",FL
33786,"Belleair Beach",FL
34420,Belleview,FL
34421,Belleview,FL
34464,"Beverly Hills",FL
34465,"Beverly Hills",FL
33043,"Big Pine Key",FL
32424,Blountstown,FL
33921,"Boca Grande",FL
33427,"Boca Raton",FL
33429,"Boca Raton",FL
33431,"Boca Raton",FL
33432,"Boca Raton",FL
33433,"Boca Raton",FL
33434,"Boca Raton",FL
33481,"Boca Raton",FL
33486,"Boca Raton",FL
33487,"Boca Raton",FL
33488,"Boca Raton",FL
33496,"Boca Raton",FL
33497,"Boca Raton",FL
33499,"Boca Raton",FL
33922,Bokeelia,FL
33945,Bokeelia,FL
32425,Bonifay,FL
33928,"Bonita Springs",FL
33931,"Bonita Springs",FL
34110,"Bonita Springs",FL
34119,"Bonita Springs",FL
34133,"Bonita Springs",FL
34134,"Bonita Springs",FL
34135,"Bonita Springs",FL
34136,"Bonita Springs",FL
32007,Bostwick,FL
33834,"Bowling Green",FL
33424,"Boynton Beach",FL
33425,"Boynton Beach",FL
33426,"Boynton Beach",FL
33435,"Boynton Beach",FL
33436,"Boynton Beach",FL
33474,"Boynton Beach",FL
33483,"Boynton Beach",FL
34204,Bradenton,FL
34205,Bradenton,FL
34206,Bradenton,FL
34208,Bradenton,FL
34209,Bradenton,FL
34210,Bradenton,FL
34280,Bradenton,FL
34281,Bradenton,FL
34282,Bradenton,FL
34217,"Bradenton Beach",FL
33835,Bradley,FL
33508,Brandon,FL
33509,Brandon,FL
33510,Brandon,FL
33511,Brandon,FL
33527,Brandon,FL
33578,Brandon,FL
33584,Brandon,FL
33594,Brandon,FL
33596,Brandon,FL
33619,Brandon,FL
32008,Branford,FL
32321,Bristol,FL
32621,Bronson,FL
32622,Brooker,FL
34601,Brooksville,FL
34603,Brooksville,FL
34604,Brooksville,FL
34605,Brooksville,FL
33438,Bryant,FL
32009,Bryceville,FL
32110,Bunnell,FL
32164,Bunnell,FL
32174,Bunnell,FL
33513,Bushnell,FL
33538,Bushnell,FL
33585,Bushnell,FL
33597,Bushnell,FL
32011,Callahan,FL
32426,Campbellton,FL
33438,"Canal Point",FL
33476,"Canal Point",FL
32111,Candler,FL
32533,Cantonment,FL
32920,"Cape Canaveral",FL
33903,"Cape Coral",FL
33904,"Cape Coral",FL
33909,"Cape Coral",FL
33910,"Cape Coral",FL
33914,"Cape Coral",FL
33915,"Cape Coral",FL
33955,"Cape Coral",FL
33990,"Cape Coral",FL
33991,"Cape Coral",FL
33993,"Cape Coral",FL
33924,Captiva,FL
32322,Carrabelle,FL
32427,Caryville,FL
32706,Cassadaga,FL
32701,Casselberry,FL
32707,Casselberry,FL
32708,Casselberry,FL
32718,Casselberry,FL
32730,Casselberry,FL
32751,Casselberry,FL
32792,Casselberry,FL
32625,"Cedar Key",FL
33514,"Center Hill",FL
33597,"Center Hill",FL
32535,Century,FL
32324,Chattahoochee,FL
32626,Chiefland,FL
32644,Chiefland,FL
32428,Chipley,FL
34138,Chokoloskee,FL
32709,Christmas,FL
32113,Citra,FL
32703,Clarcona,FL
32810,Clarcona,FL
32818,Clarcona,FL
34761,Clarcona,FL
32430,Clarksville,FL
33755,Clearwater,FL
33767,"Clearwater Beach",FL
34711,Clermont,FL
34712,Clermont,FL
34713,Clermont,FL
34715,Clermont,FL
33440,Clewiston,FL
32922,Cocoa,FL
32923,Cocoa,FL
32924,Cocoa,FL
32926,Cocoa,FL
32931,"Cocoa Beach",FL
32932,"Cocoa Beach",FL
33521,Coleman,FL
33538,Coleman,FL
33585,Coleman,FL
34785,Coleman,FL
34137,Copeland,FL
34210,Cortez,FL
34215,Cortez,FL
32431,Cottondale,FL
32448,Cottondale,FL
32326,Crawfordville,FL
32327,Crawfordville,FL
32112,"Crescent City",FL
32536,Crestview,FL
32539,Crestview,FL
32628,"Cross City",FL
34681,"Crystal Beach",FL
34423,"Crystal River",FL
34428,"Crystal River",FL
34429,"Crystal River",FL
34448,"Crystal River",FL
33524,"Crystal Springs",FL
33540,"Crystal Springs",FL
32432,Cypress,FL
33523,"Dade City",FL
33525,"Dade City",FL
33526,"Dade City",FL
33004,Dania,FL
33836,Davenport,FL
33837,Davenport,FL
33844,Davenport,FL
32013,Day,FL
32066,Day,FL
32114,"Daytona Beach",FL
32115,"Daytona Beach",FL
32116,"Daytona Beach",FL
32117,"Daytona Beach",FL
32118,"Daytona Beach",FL
32119,"Daytona Beach",FL
32120,"Daytona Beach",FL
32121,"Daytona Beach",FL
32122,"Daytona Beach",FL
32123,"Daytona Beach",FL
32124,"Daytona Beach",FL
32125,"Daytona Beach",FL
32126,"Daytona Beach",FL
32174,"Daytona Beach",FL
32198,"Daytona Beach",FL
32130,"De Leon Springs",FL
32720,"De Leon Springs",FL
32713,Debary,FL
32753,Debary,FL
33064,"Deerfield Beach",FL
33073,"Deerfield Beach",FL
33441,"Deerfield Beach",FL
33442,"Deerfield Beach",FL
33443,"Deerfield Beach",FL
32433,"Defuniak Springs",FL
32435,"Defuniak Springs",FL
32720,Deland,FL
32721,Deland,FL
32723,Deland,FL
32724,Deland,FL
33444,"Delray Beach",FL
33445,"Delray Beach",FL
33448,"Delray Beach",FL
33482,"Delray Beach",FL
33483,"Delray Beach",FL
33484,"Delray Beach",FL
32725,Deltona,FL
32728,Deltona,FL
32738,Deltona,FL
32739,Deltona,FL
32764,Deltona,FL
32540,Destin,FL
32541,Destin,FL
32030,"Doctors Inlet",FL
33527,Dover,FL
33838,Dundee,FL
33844,Dundee,FL
33859,Dundee,FL
33877,Dundee,FL
33884,Dundee,FL
33898,Dundee,FL
33763,Dunedin,FL
33767,Dunedin,FL
34683,Dunedin,FL
34697,Dunedin,FL
34698,Dunedin,FL
34430,Dunnellon,FL
34431,Dunnellon,FL
34432,Dunnellon,FL
33530,Durant,FL
33839,"Eagle Lake",FL
33880,"Eagle Lake",FL
32631,Earleton,FL
32131,"East Palatka",FL
32133,"Eastlake Weir",FL
32328,Eastpoint,FL
33840,"Eaton Park",FL
32437,Ebro,FL
32640,Edgar,FL
32132,Edgewater,FL
32141,Edgewater,FL
32168,Edgewater,FL
32542,"Eglin Afb",FL
33927,"El Jobean",FL
34652,Elfers,FL
34653,Elfers,FL
34680,Elfers,FL
34690,Elfers,FL
32033,Elkton,FL
34221,Ellenton,FL
34222,Ellenton,FL
34223,Englewood,FL
34224,Englewood,FL
34295,Englewood,FL
33928,Estero,FL
33929,Estero,FL
33967,Estero,FL
34134,Estero,FL
34135,Estero,FL
32726,Eustis,FL
32727,Eustis,FL
32735,Eustis,FL
32736,Eustis,FL
32757,Eustis,FL
32784,Eustis,FL
34139,"Everglades City",FL
32633,Evinston,FL
32634,Fairfield,FL
33854,Fedhaven,FL
33930,Felda,FL
32948,Fellsmere,FL
32958,Fellsmere,FL
32966,Fellsmere,FL
32967,Fellsmere,FL
32034,"Fernandina Beach",FL
32035,"Fernandina Beach",FL
32097,"Fernandina Beach",FL
34715,Ferndale,FL
34729,Ferndale,FL
32136,"Flagler Beach",FL
32003,"Fleming Island",FL
32006,"Fleming Island",FL
32073,"Fleming Island",FL
32140,Florahome,FL
34436,"Floral City",FL
33301,"Fort Lauderdale",FL
33302,"Fort Lauderdale",FL
33303,"Fort Lauderdale",FL
33304,"Fort Lauderdale",FL
33305,"Fort Lauderdale",FL
33306,"Fort Lauderdale",FL
33307,"Fort Lauderdale",FL
33308,"Fort Lauderdale",FL
33309,"Fort Lauderdale",FL
33310,"Fort Lauderdale",FL
33311,"Fort Lauderdale",FL
33312,"Fort Lauderdale",FL
33315,"Fort Lauderdale",FL
33316,"Fort Lauderdale",FL
33318,"Fort Lauderdale",FL
33320,"Fort Lauderdale",FL
33329,"Fort Lauderdale",FL
33334,"Fort Lauderdale",FL
33335,"Fort Lauderdale",FL
33336,"Fort Lauderdale",FL
33337,"Fort Lauderdale",FL
33338,"Fort Lauderdale",FL
33339,"Fort Lauderdale",FL
33340,"Fort Lauderdale",FL
33345,"Fort Lauderdale",FL
33346,"Fort Lauderdale",FL
33348,"Fort Lauderdale",FL
33349,"Fort Lauderdale",FL
33355,"Fort Lauderdale",FL
33359,"Fort Lauderdale",FL
32134,"Fort Mc Coy",FL
33830,"Fort Meade",FL
33841,"Fort Meade",FL
33847,"Fort Meade",FL
33901,"Fort Myers",FL
33902,"Fort Myers",FL
33903,"Fort Myers",FL
33905,"Fort Myers",FL
33906,"Fort Myers",FL
33907,"Fort Myers",FL
33911,"Fort Myers",FL
33912,"Fort Myers",FL
33913,"Fort Myers",FL
33916,"Fort Myers",FL
33917,"Fort Myers",FL
33918,"Fort Myers",FL
33919,"Fort Myers",FL
33965,"Fort Myers",FL
33966,"Fort Myers",FL
33971,"Fort Myers",FL
33990,"Fort Myers",FL
33994,"Fort Myers",FL
33908,"Fort Myers Beach",FL
33931,"Fort Myers Beach",FL
33932,"Fort Myers Beach",FL
34267,"Fort Ogden",FL
34945,"Fort Pierce",FL
34946,"Fort Pierce",FL
34947,"Fort Pierce",FL
34948,"Fort Pierce",FL
34949,"Fort Pierce",FL
34950,"Fort Pierce",FL
34954,"Fort Pierce",FL
34979,"Fort Pierce",FL
34981,"Fort Pierce",FL
34982,"Fort Pierce",FL
32547,"Fort Walton Beach",FL
32548,"Fort Walton Beach",FL
32038,"Fort White",FL
32438,Fountain,FL
32435,Freeport,FL
32439,Freeport,FL
33827,Frostproof,FL
33843,Frostproof,FL
34731,"Fruitland Park",FL
34748,"Fruitland Park",FL
32601,Gainesville,FL
32602,Gainesville,FL
32603,Gainesville,FL
32604,Gainesville,FL
32605,Gainesville,FL
32606,Gainesville,FL
32607,Gainesville,FL
32608,Gainesville,FL
32609,Gainesville,FL
32610,Gainesville,FL
32611,Gainesville,FL
32612,Gainesville,FL
32613,Gainesville,FL
32614,Gainesville,FL
32627,Gainesville,FL
32635,Gainesville,FL
32641,Gainesville,FL
32653,Gainesville,FL
32667,Gainesville,FL
32732,Geneva,FL
32139,Georgetown,FL
33534,Gibsonton,FL
33572,Gibsonton,FL
33578,Gibsonton,FL
32040,"Glen Saint Mary",FL
32722,Glenwood,FL
32733,Goldenrod,FL
32792,Goldenrod,FL
32817,Goldenrod,FL
32533,Gonzalez,FL
32534,Gonzalez,FL
32560,Gonzalez,FL
34140,Goodland,FL
34734,Gotha,FL
34786,Gotha,FL
32440,Graceville,FL
32042,Graham,FL
32735,"Grand Island",FL
32442,"Grand Ridge",FL
32138,Grandin,FL
32949,Grant,FL
32043,"Green Cove Springs",FL
32330,Greensboro,FL
32351,Greensboro,FL
32331,Greenville,FL
32443,Greenwood,FL
32332,Gretna,FL
32351,Gretna,FL
32352,Gretna,FL
34711,Groveland,FL
34715,Groveland,FL
34736,Groveland,FL
34737,Groveland,FL
32561,"Gulf Breeze",FL
32562,"Gulf Breeze",FL
32639,"Gulf Hammock",FL
33837,"Haines City",FL
33844,"Haines City",FL
33845,"Haines City",FL
33008,Hallandale,FL
32044,Hampton,FL
32145,Hastings,FL
32333,Havana,FL
32640,Hawthorne,FL
34434,Hernando,FL
34442,Hernando,FL
34445,Hernando,FL
34453,Hernando,FL
33002,Hialeah,FL
33010,Hialeah,FL
33011,Hialeah,FL
33012,Hialeah,FL
33013,Hialeah,FL
33014,Hialeah,FL
33016,Hialeah,FL
33017,Hialeah,FL
33018,Hialeah,FL
33142,Hialeah,FL
33147,Hialeah,FL
32615,"High Springs",FL
32643,"High Springs",FL
32655,"High Springs",FL
33812,"Highland City",FL
33813,"Highland City",FL
33830,"Highland City",FL
33846,"Highland City",FL
32011,Hilliard,FL
32046,Hilliard,FL
33455,"Hobe Sound",FL
33475,"Hobe Sound",FL
34445,Holder,FL
34690,Holiday,FL
34691,Holiday,FL
34692,Holiday,FL
32147,Hollister,FL
33004,Hollywood,FL
33019,Hollywood,FL
33020,Hollywood,FL
33021,Hollywood,FL
33022,Hollywood,FL
33023,Hollywood,FL
33024,Hollywood,FL
33081,Hollywood,FL
33083,Hollywood,FL
33312,Hollywood,FL
33314,Hollywood,FL
33316,Hollywood,FL
34217,"Holmes Beach",FL
34218,"Holmes Beach",FL
32564,Holt,FL
33830,Homeland,FL
33847,Homeland,FL
33030,Homestead,FL
33033,Homestead,FL
33034,Homestead,FL
33035,Homestead,FL
33039,Homestead,FL
33090,Homestead,FL
33092,Homestead,FL
34446,Homosassa,FL
34448,Homosassa,FL
34487,Homosassa,FL
34429,"Homosassa Springs",FL
34446,"Homosassa Springs",FL
34447,"Homosassa Springs",FL
34448,"Homosassa Springs",FL
34461,"Homosassa Springs",FL
32648,"Horseshoe Beach",FL
