zipcode,city,state
61410,Abingdon,IL
61411,Adair,IL
62214,Addieville,IL
60101,Addison,IL
60143,Addison,IL
60148,Addison,IL
60191,Addison,IL
62890,Akin,IL
61230,Albany,IL
62215,Albers,IL
62265,Albers,IL
62806,Albion,IL
60001,Alden,IL
60033,Alden,IL
60034,Alden,IL
61231,Aledo,IL
62601,Alexander,IL
61412,Alexis,IL
60013,Algonquin,IL
60102,Algonquin,IL
60118,Algonquin,IL
60142,Algonquin,IL
60156,Algonquin,IL
62001,Alhambra,IL
62410,Allendale,IL
61810,Allerton,IL
62807,Alma,IL
61413,Alpha,IL
62082,Alsey,IL
62610,Alsey,IL
62694,Alsey,IL
60406,Alsip,IL
60482,Alsip,IL
60803,Alsip,IL
62411,Altamont,IL
62905,"Alto Pass",IL
62920,"Alto Pass",IL
62002,Alton,IL
62010,Alton,IL
62018,Alton,IL
62035,Alton,IL
61414,Altona,IL
61811,Alvin,IL
61021,Amboy,IL
61310,Amboy,IL
60666,"Amf Ohare",IL
61720,Anchor,IL
61311,Ancona,IL
61232,Andalusia,IL
61264,Andalusia,IL
61284,Andalusia,IL
61233,Andover,IL
61238,Andover,IL
61262,Andover,IL
62906,Anna,IL
62413,Annapolis,IL
61234,Annawan,IL
61344,Annawan,IL
60002,Antioch,IL
61001,"Apple River",IL
61910,Arcola,IL
62611,Arenzville,IL
62501,Argenta,IL
61312,Arlington,IL
60004,"Arlington Heights",IL
60005,"Arlington Heights",IL
60006,"Arlington Heights",IL
60008,"Arlington Heights",IL
60090,"Arlington Heights",IL
61721,Armington,IL
61812,Armstrong,IL
60901,"Aroma Park",IL
60910,"Aroma Park",IL
60964,"Aroma Park",IL
61722,Arrowsmith,IL
61911,Arthur,IL
60911,Ashkum,IL
62612,Ashland,IL
62808,Ashley,IL
61912,Ashmore,IL
61006,Ashton,IL
62510,Assumption,IL
61501,Astoria,IL
62613,Athens,IL
61235,Atkinson,IL
61723,Atlanta,IL
61913,Atwood,IL
62441,Auburn,IL
62442,Auburn,IL
62615,Auburn,IL
62311,Augusta,IL
60502,Aurora,IL
60503,Aurora,IL
60504,Aurora,IL
60505,Aurora,IL
60506,Aurora,IL
60507,Aurora,IL
60542,Aurora,IL
60543,Aurora,IL
60563,Aurora,IL
60564,Aurora,IL
60568,Aurora,IL
60572,Aurora,IL
60585,Aurora,IL
60597,Aurora,IL
60598,Aurora,IL
62907,Ava,IL
62216,Aviston,IL
60030,Avon,IL
60046,Avon,IL
60073,Avon,IL
61415,Avon,IL
61007,Baileyville,IL
62217,Baldwin,IL
61416,Bardolph,IL
61455,Bardolph,IL
62809,Barnhill,IL
62820,Barnhill,IL
62837,Barnhill,IL
60010,Barrington,IL
60011,Barrington,IL
62312,Barry,IL
61236,Barstow,IL
