zipcode,city,state
42201,Aberdeen,KY
42202,Adairville,KY
41201,Adams,KY
42120,Adolphus,KY
40801,"Ages Brookside",KY
42602,Albany,KY
41001,Alexandria,KY
41076,Alexandria,KY
41601,Allen,KY
42204,Allensville,KY
42020,Almo,KY
42603,Alpha,KY
42122,Alvaton,KY
40402,Annville,KY
40447,Annville,KY
40486,Annville,KY
41121,Argillite,KY
40902,Arjay,KY
42021,Arlington,KY
40903,Artemus,KY
40906,Artemus,KY
41712,Ary,KY
41512,Ashcamp,KY
40803,Asher,KY
41101,Ashland,KY
41102,Ashland,KY
41105,Ashland,KY
41114,Ashland,KY
41307,Athol,KY
42206,Auburn,KY
41002,Augusta,KY
42123,Austin,KY
41602,Auxier,KY
41713,Avawam,KY
40003,Bagdad,KY
42022,Bandana,KY
42053,Bandana,KY
42056,Bandana,KY
41603,Banner,KY
40906,Barbourville,KY
40915,Barbourville,KY
40004,Bardstown,KY
40048,Bardstown,KY
42023,Bardwell,KY
42024,Barlow,KY
42402,Baskett,KY
40104,Battletown,KY
40806,Baxter,KY
41310,Bays,KY
41714,"Bear Branch",KY
41311,Beattyville,KY
42124,Beaumont,KY
41203,Beauty,KY
41604,Beaver,KY
42320,"Beaver Dam",KY
40006,Bedford,KY
42207,"Bee Spring",KY
42321,"Beech Creek",KY
42322,"Beech Grove",KY
42327,"Beech Grove",KY
42321,Beechmont,KY
42323,Beechmont,KY
41513,Belcher,KY
41514,Belfry,KY
41073,Bellevue,KY
42324,Belton,KY
40807,Benham,KY
40823,Benham,KY
42025,Benton,KY
40403,Berea,KY
40404,Berea,KY
40461,Berea,KY
41003,Berry,KY
41301,Bethany,KY
42516,Bethelridge,KY
40007,Bethlehem,KY
41605,"Betsy Layne",KY
41635,"Betsy Layne",KY
40913,Beverly,KY
41606,Bevinsville,KY
42712,"Big Clifty",KY
40914,"Big Creek",KY
40808,"Big Laurel",KY
40405,Bighill,KY
40915,Bimble,KY
41804,Blackey,KY
42404,Blackford,KY
41124,Blaine,KY
40810,Bledsoe,KY
40008,Bloomfield,KY
41607,"Blue River",KY
42027,Boaz,KY
42713,Bonnieville,KY
41719,Bonnyman,KY
41314,Booneville,KY
41204,"Boons Camp",KY
40107,Boston,KY
42101,"Bowling Green",KY
42102,"Bowling Green",KY
42103,"Bowling Green",KY
42104,"Bowling Green",KY
42122,"Bowling Green",KY
40009,Bradfordsville,KY
40108,Brandenburg,KY
42715,Breeding,KY
42325,Bremen,KY
40409,Brodhead,KY
40419,Brodhead,KY
42518,Bronston,KY
40109,Brooks,KY
40165,Brooks,KY
40229,Brooks,KY
41004,Brooksville,KY
