zipcode,city,state
70510,Abbeville,LA
70511,Abbeville,LA
70420,"Abita Springs",LA
70471,"Abita Springs",LA
71316,Acme,LA
70710,Addis,LA
70719,Addis,LA
71401,Aimwell,LA
70421,Akers,LA
70711,Albany,LA
71301,Alexandria,LA
71302,Alexandria,LA
71303,Alexandria,LA
71306,Alexandria,LA
71307,Alexandria,LA
71309,Alexandria,LA
71315,Alexandria,LA
71409,Alexandria,LA
70031,Ama,LA
70340,Amelia,LA
70380,Amelia,LA
70422,Amite,LA
71403,Anacoco,LA
70426,Angie,LA
70467,Angie,LA
70712,Angola,LA
70032,Arabi,LA
71001,Arcadia,LA
71218,Archibald,LA
70512,Arnaudville,LA
71070,Ashland,LA
71003,Athens,LA
71040,Athens,LA
71404,Atlanta,LA
70513,"Avery Island",LA
70704,Baker,LA
70714,Baker,LA
70807,Baker,LA
70811,Baker,LA
70514,Baldwin,LA
70538,Baldwin,LA
71360,Ball,LA
71405,Ball,LA
70036,Barataria,LA
71110,"Barksdale Afb",LA
70515,Basile,LA
71219,Baskin,LA
71220,Bastrop,LA
71221,Bastrop,LA
70715,Batchelor,LA
70801,"Baton Rouge",LA
70802,"Baton Rouge",LA
70803,"Baton Rouge",LA
70804,"Baton Rouge",LA
70805,"Baton Rouge",LA
70806,"Baton Rouge",LA
70807,"Baton Rouge",LA
70808,"Baton Rouge",LA
70809,"Baton Rouge",LA
70810,"Baton Rouge",LA
70811,"Baton Rouge",LA
70812,"Baton Rouge",LA
70813,"Baton Rouge",LA
70814,"Baton Rouge",LA
70815,"Baton Rouge",LA
70816,"Baton Rouge",LA
70819,"Baton Rouge",LA
70820,"Baton Rouge",LA
70821,"Baton Rouge",LA
70822,"Baton Rouge",LA
70823,"Baton Rouge",LA
70826,"Baton Rouge",LA
70831,"Baton Rouge",LA
70833,"Baton Rouge",LA
70835,"Baton Rouge",LA
70837,"Baton Rouge",LA
70873,"Baton Rouge",LA
70874,"Baton Rouge",LA
70879,"Baton Rouge",LA
70883,"Baton Rouge",LA
70884,"Baton Rouge",LA
70891,"Baton Rouge",LA
70892,"Baton Rouge",LA
70893,"Baton Rouge",LA
70894,"Baton Rouge",LA
70895,"Baton Rouge",LA
70896,"Baton Rouge",LA
70898,"Baton Rouge",LA
71004,Belcher,LA
70630,"Bell City",LA
70037,"Belle Chasse",LA
70341,"Belle Rose",LA
71065,Belmont,LA
71406,Belmont,LA
71450,Belmont,LA
71486,Belmont,LA
71407,Bentley,LA
71006,Benton,LA
71222,Bernice,LA
70342,Berwick,LA
70380,Berwick,LA
71007,Bethany,LA
71008,Bienville,LA
71009,Blanchard,LA
71107,Blanchard,LA
70427,Bogalusa,LA
70429,Bogalusa,LA
71223,Bonita,LA
70038,Boothville,LA
70041,Boothville,LA
70091,Boothville,LA
71320,Bordelonville,LA
71355,Bordelonville,LA
71101,"Bossier City",LA
71107,"Bossier City",LA
71110,"Bossier City",LA
71111,"Bossier City",LA
71112,"Bossier City",LA
71113,"Bossier City",LA
71171,"Bossier City",LA
71172,"Bossier City",LA
70343,Bourg,LA
70039,Boutte,LA
70070,Boutte,LA
70080,Boutte,LA
71409,Boyce,LA
70040,Braithwaite,LA
70516,Branch,LA
70517,"Breaux Bridge",LA
70718,Brittany,LA
70508,Broussard,LA
70517,Broussard,LA
70518,Broussard,LA
70592,Broussard,LA
70719,Brusly,LA
70767,Brusly,LA
71322,Bunkie,LA
70041,Buras,LA
70738,Burnside,LA
70431,Bush,LA
70518,Cade,LA
70519,Cade,LA
70582,Cade,LA
71225,Calhoun,LA
71410,Calvin,LA
71483,Calvin,LA
70631,Cameron,LA
71411,Campti,LA
70507,Carencro,LA
70520,Carencro,LA
70721,Carville,LA
71016,Castor,LA
70512,Cecilia,LA
70517,Cecilia,LA
70521,Cecilia,LA
71323,"Center Point",LA
70522,Centerville,LA
70043,Chalmette,LA
70044,Chalmette,LA
70514,Charenton,LA
70523,Charenton,LA
70538,Charenton,LA
70544,Charenton,LA
71324,Chase,LA
70524,Chataignier,LA
70586,Chataignier,LA
71226,Chatham,LA
71238,Chatham,LA
70344,Chauvin,LA
71325,Cheneyville,LA
71227,Choudrant,LA
70525,"Church Point",LA
71414,Clarence,LA
71457,Clarence,LA
71415,Clarks,LA
71435,Clarks,LA
71326,Clayton,LA
71334,Clayton,LA
70722,Clinton,LA
71416,Cloutierville,LA
71417,Colfax,LA
71229,Collinston,LA
71418,Columbia,LA
70723,Convent,LA
71419,Converse,LA
71018,"Cotton Valley",LA
71327,Cottonport,LA
71019,Coushatta,LA
70433,Covington,LA
70434,Covington,LA
70435,Covington,LA
70632,Creole,LA
70526,Crowley,LA
70527,Crowley,LA
71230,Crowville,LA
71021,Cullen,LA
71075,Cullen,LA
70345,"Cut Off",LA
70725,Darrow,LA
70528,Delcambre,LA
70533,Delcambre,LA
71232,Delhi,LA
71233,Delta,LA
71282,Delta,LA
70726,"Denham Springs",LA
70727,"Denham Springs",LA
70633,Dequincy,LA
70634,Deridder,LA
70030,"Des Allemands",LA
70080,"Des Allemands",LA
70047,Destrehan,LA
70078,Destrehan,LA
71328,Deville,LA
71422,Dodson,LA
70346,Donaldsonville,LA
70352,Donner,LA
71234,Downsville,LA
71023,Doyline,LA
70637,"Dry Creek",LA
71423,"Dry Prong",LA
71235,Dubach,LA
71024,Dubberly,LA
70353,Dulac,LA
70363,Dulac,LA
70728,Duplessis,LA
71329,Dupont,LA
70529,Duson,LA
70578,Duson,LA
70583,Duson,LA
71330,Echo,LA
70049,Edgard,LA
71331,Effie,LA
70531,Egan,LA
70638,Elizabeth,LA
71051,"Elm Grove",LA
71424,Elmer,LA
70532,Elton,LA
70041,Empire,LA
70050,Empire,LA
70083,Empire,LA
71425,Enterprise,LA
71237,Epps,LA
70533,Erath,LA
71238,Eros,LA
70729,Erwinville,LA
70767,Erwinville,LA
70526,Estherwood,LA
70534,Estherwood,LA
70730,Ethel,LA
70535,Eunice,LA
70537,Evangeline,LA
70639,Evans,LA
71322,Evergreen,LA
71333,Evergreen,LA
71240,Fairbanks,LA
71241,Farmerville,LA
70591,Fenton,LA
70640,Fenton,LA
71334,Ferriday,LA
71426,Fisher,LA
71427,Flatwoods,LA
71428,Flora,LA
71429,Florien,LA
70436,Fluker,LA
70437,Folsom,LA
70732,Fordoche,LA
71242,Forest,LA
71263,Forest,LA
71430,"Forest Hill",LA
71243,"Fort Necessity",LA
70538,Franklin,LA
70438,Franklinton,LA
70733,"French Settlement",LA
71027,Frierson,LA
70345,Galliano,LA
70354,Galliano,LA
70540,"Garden City",LA
71409,Gardner,LA
70051,Garyville,LA
70076,Garyville,LA
70084,Garyville,LA
70734,Geismar,LA
71432,Georgetown,LA
70355,Gheens,LA
71028,Gibsland,LA
70356,Gibson,LA
71336,Gilbert,LA
71029,Gilliam,LA
71433,Glenmora,LA
71030,Gloster,LA
70736,Glynn,LA
70357,"Golden Meadow",LA
71031,Goldonna,LA
70707,Gonzales,LA
70718,Gonzales,LA
70737,Gonzales,LA
70738,Gonzales,LA
71434,Gorum,LA
71245,Grambling,LA
71270,Grambling,LA
70052,Gramercy,LA
71032,"Grand Cane",LA
70643,"Grand Chenier",LA
70512,"Grand Coteau",LA
70541,"Grand Coteau",LA
70584,"Grand Coteau",LA
70358,"Grand Isle",LA
70644,Grant,LA
70359,Gray,LA
70360,Gray,LA
70364,Gray,LA
71418,Grayson,LA
71435,Grayson,LA
70441,Greensburg,LA
70739,"Greenwell Springs",LA
71033,Greenwood,LA
71119,Greenwood,LA
71129,Greenwood,LA
70053,Gretna,LA
70054,Gretna,LA
70056,Gretna,LA
70740,"Grosse Tete",LA
70542,Gueydan,LA
70645,Hackberry,LA
70057,Hahnville,LA
71034,"Hall Summit",LA
71339,Hamburg,LA
70401,Hammond,LA
70402,Hammond,LA
70403,Hammond,LA
70404,Hammond,LA
70454,Hammond,LA
71340,Harrisonburg,LA
70058,Harvey,LA
70059,Harvey,LA
70072,Harvey,LA
71037,Haughton,LA
70630,Hayes,LA
70646,Hayes,LA
71038,Haynesville,LA
71039,Heflin,LA
71341,Hessmer,LA
71350,Hessmer,LA
70743,Hester,LA
70763,Hester,LA
70792,Hester,LA
71438,Hineston,LA
71247,Hodge,LA
70744,Holden,LA
71040,Homer,LA
71439,Hornbeck,LA
71043,Hosston,LA
70360,Houma,LA
70361,Houma,LA
70363,Houma,LA
70364,Houma,LA
70442,Husser,LA
71044,Ida,LA
70443,Independence,LA
70747,Innis,LA
70543,Iota,LA
70647,Iowa,LA
70748,Jackson,LA
71045,Jamestown,LA
70749,Jarreau,LA
70544,Jeanerette,LA
71342,Jena,LA
70546,Jennings,LA
71249,Jigger,LA
71250,Jones,LA
71251,Jonesboro,LA
71343,Jonesville,LA
71483,Joyce,LA
70548,Kaplan,LA
71046,Keatchie,LA
71047,Keithville,LA
71441,Kelly,LA
70003,Kenner,LA
70062,Kenner,LA
70063,Kenner,LA
70064,Kenner,LA
70065,Kenner,LA
70097,Kenner,LA
70444,Kentwood,LA
71253,Kilbourne,LA
71263,Kilbourne,LA
70648,Kinder,LA
70301,Kraemer,LA
70750,"Krotz Springs",LA
71443,Kurthwood,LA
70068,"La Place",LA
70301,Labadieville,LA
70372,Labadieville,LA
70647,Lacassine,LA
70650,Lacassine,LA
70445,Lacombe,LA
70460,Lacombe,LA
70501,Lafayette,LA
70502,Lafayette,LA
70503,Lafayette,LA
70504,Lafayette,LA
70505,Lafayette,LA
70506,Lafayette,LA
70507,Lafayette,LA
70508,Lafayette,LA
70509,Lafayette,LA
70518,Lafayette,LA
70583,Lafayette,LA
70592,Lafayette,LA
70593,Lafayette,LA
70595,Lafayette,LA
70596,Lafayette,LA
70598,Lafayette,LA
70036,Lafitte,LA
70067,Lafitte,LA
70549,"Lake Arthur",LA
70601,"Lake Charles",LA
70602,"Lake Charles",LA
70605,"Lake Charles",LA
70606,"Lake Charles",LA
70607,"Lake Charles",LA
70609,"Lake Charles",LA
70612,"Lake Charles",LA
70615,"Lake Charles",LA
70616,"Lake Charles",LA
71254,"Lake Providence",LA
71286,"Lake Providence",LA
70752,Lakeland,LA
70345,Larose,LA
70373,Larose,LA
70374,Larose,LA
70550,Lawtell,LA
70570,Lawtell,LA
71345,Lebeau,LA
70651,Leblanc,LA
71346,Lecompte,LA
71430,Lecompte,LA
71446,Leesville,LA
71496,Leesville,LA
71447,Lena,LA
70512,Leonville,LA
70551,Leonville,LA
70570,Leonville,LA
70753,Lettsworth,LA
71348,Libuse,LA
71256,Lillie,LA
71040,Lisbon,LA
71048,Lisbon,LA
70754,Livingston,LA
70755,Livonia,LA
70757,Livonia,LA
70374,Lockport,LA
71049,Logansport,LA
71448,Longleaf,LA
71046,Longstreet,LA
71049,Longstreet,LA
71050,Longstreet,LA
70652,Longville,LA
70446,Loranger,LA
70552,Loreauville,LA
70756,Lottie,LA
70039,Luling,LA
70057,Luling,LA
70070,Luling,LA
70071,Lutcher,LA
70544,Lydia,LA
70560,Lydia,LA
70569,Lydia,LA
70447,Madisonville,LA
70554,Mamou,LA
70448,Mandeville,LA
70470,Mandeville,LA
70471,Mandeville,LA
71259,Mangham,LA
71052,Mansfield,LA
71350,Mansura,LA
71449,Many,LA
70757,Maringouin,LA
71260,Marion,LA
