zipcode,city,state
38601,Abbeville,MS
39730,Aberdeen,MS
39735,Ackerman,MS
38820,Algoma,MS
38863,Algoma,MS
38720,Alligator,MS
38821,Amory,MS
38721,Anguilla,MS
38722,Arcola,MS
38602,Arkabutla,MS
39701,Artesia,MS
39736,Artesia,MS
38603,Ashland,MS
38723,Avon,MS
39320,Bailey,MS
38824,Baldwyn,MS
38849,Baldwyn,MS
38913,Banner,MS
39421,Bassfield,MS
39427,Bassfield,MS
38606,Batesville,MS
38620,Batesville,MS
39520,"Bay Saint Louis",MS
39338,"Bay Springs",MS
39422,"Bay Springs",MS
39423,Beaumont,MS
38825,Becker,MS
38826,Belden,MS
38609,Belen,MS
39737,Bellefontaine,MS
38827,Belmont,MS
38847,Belmont,MS
39038,Belzoni,MS
38725,Benoit,MS
39039,Benton,MS
39040,Bentonia,MS
38726,Beulah,MS
38914,"Big Creek",MS
39503,Biloxi,MS
39507,Biloxi,MS
39530,Biloxi,MS
39531,Biloxi,MS
39532,Biloxi,MS
39533,Biloxi,MS
39534,Biloxi,MS
39535,Biloxi,MS
38610,"Blue Mountain",MS
38828,"Blue Springs",MS
39350,"Bogue Chitto",MS
39354,"Bogue Chitto",MS
39629,"Bogue Chitto",MS
39041,Bolton,MS
38829,Booneville,MS
38730,Boyle,MS
39042,Brandon,MS
39043,Brandon,MS
39208,Brandon,MS
39044,Braxton,MS
39601,Brookhaven,MS
39602,Brookhaven,MS
39603,Brookhaven,MS
39629,Brookhaven,MS
39425,Brooklyn,MS
39739,Brooksville,MS
38915,Bruce,MS
39322,Buckatunna,MS
39630,Bude,MS
38833,Burnsville,MS
38611,Byhalia,MS
39170,Byram,MS
39212,Byram,MS
39272,Byram,MS
39740,Caledonia,MS
38916,"Calhoun City",MS
39045,Camden,MS
39046,Canton,MS
39110,Canton,MS
39426,Carriere,MS
38917,Carrollton,MS
39427,Carson,MS
39051,Carthage,MS
39054,Cary,MS
39159,Cary,MS
38920,Cascilla,MS
39741,Cedarbluff,MS
39631,Centreville,MS
38921,Charleston,MS
39632,Chatawa,MS
38731,Chatham,MS
39323,Chunky,MS
39324,Clara,MS
39367,Clara,MS
38614,Clarksdale,MS
38645,Clarksdale,MS
38732,Cleveland,MS
39041,Clinton,MS
39056,Clinton,MS
39058,Clinton,MS
39060,Clinton,MS
39154,Clinton,MS
39209,Clinton,MS
39213,Clinton,MS
38617,Coahoma,MS
38922,Coffeeville,MS
38923,Coila,MS
38618,Coldwater,MS
39428,Collins,MS
39325,Collinsville,MS
39429,Columbia,MS
39701,Columbus,MS
39702,Columbus,MS
39703,Columbus,MS
39704,Columbus,MS
39705,Columbus,MS
39710,Columbus,MS
38619,Como,MS
39057,Conehatta,MS
38834,Corinth,MS
38835,Corinth,MS
38620,Courtland,MS
39743,Crawford,MS
38621,Crenshaw,MS
39633,Crosby,MS
38622,Crowder,MS
38924,Cruger,MS
39059,"Crystal Springs",MS
39062,"D Lo",MS
39326,Daleville,MS
38623,Darling,MS
39328,"De Kalb",MS
39327,Decatur,MS
39061,"Delta City",MS
38838,Dennis,MS
38839,Derma,MS
38916,Derma,MS
39525,Diamondhead,MS
39556,Diamondhead,MS
39540,Diberville,MS
38736,Doddsville,MS
38737,Drew,MS
38739,Dublin,MS
38925,"Duck Hill",MS
38625,Dumas,MS
38663,Dumas,MS
38740,Duncan,MS
38774,Duncan,MS
38626,Dundee,MS
39063,Durant,MS
39436,Eastabuchie,MS
38841,Ecru,MS
38863,Ecru,MS
39066,Edwards,MS
38901,Elliott,MS
38925,Elliott,MS
38926,Elliott,MS
39437,Ellisville,MS
39440,Ellisville,MS
38927,Enid,MS
39330,Enterprise,MS
39552,Escatawpa,MS
39562,Escatawpa,MS
39067,Ethel,MS
38627,Etta,MS
39744,Eupora,MS
38670,Falcon,MS
