zipcode,city,state
28315,Aberdeen,NC
28387,Aberdeen,NC
27006,Advance,NC
27910,Ahoskie,NC
27201,Alamance,NC
27215,Alamance,NC
28001,Albemarle,NC
28002,Albemarle,NC
28127,Albemarle,NC
28508,Albertson,NC
28701,Alexander,NC
28006,Alexis,NC
28509,Alliance,NC
28515,Alliance,NC
28529,Alliance,NC
28702,Almond,NC
27202,Altamahaw,NC
27244,Altamahaw,NC
28901,Andrews,NC
27501,Angier,NC
27526,Angier,NC
27592,Angier,NC
28007,Ansonville,NC
28170,Ansonville,NC
27502,Apex,NC
27511,Apex,NC
27523,Apex,NC
27539,Apex,NC
27562,Apex,NC
28510,Arapahoe,NC
28529,Arapahoe,NC
27007,Ararat,NC
28704,Arden,NC
28420,Ash,NC
27203,Asheboro,NC
27204,Asheboro,NC
27205,Asheboro,NC
27239,Asheboro,NC
27317,Asheboro,NC
28704,Asheville,NC
28715,Asheville,NC
28732,Asheville,NC
28776,Asheville,NC
28801,Asheville,NC
28802,Asheville,NC
28803,Asheville,NC
28804,Asheville,NC
28805,Asheville,NC
28806,Asheville,NC
28813,Asheville,NC
28814,Asheville,NC
28815,Asheville,NC
28816,Asheville,NC
28421,Atkinson,NC
28511,Atlantic,NC
28512,"Atlantic Beach",NC
27805,Aulander,NC
27806,Aurora,NC
28318,Autryville,NC
27915,Avon,NC
28513,Ayden,NC
27916,Aydlett,NC
28001,Badin,NC
28009,Badin,NC
28127,Badin,NC
27503,Bahama,NC
27807,Bailey,NC
28705,Bakersville,NC
28707,Balsam,NC
28708,"Balsam Grove",NC
28604,"Banner Elk",NC
27917,Barco,NC
28010,"Barium Springs",NC
28709,Barnardsville,NC
28319,Barnesville,NC
28710,"Bat Cave",NC
27808,Bath,NC
27889,Bath,NC
27809,Battleboro,NC
28515,Bayboro,NC
27207,"Bear Creek",NC
28516,Beaufort,NC
27009,"Belews Creek",NC
27810,Belhaven,NC
27811,Bellarthur,NC
28012,Belmont,NC
28056,Belmont,NC
27919,Belvidere,NC
27208,Bennett,NC
27504,Benson,NC
27524,Benson,NC
28016,"Bessemer City",NC
27040,Bethania,NC
27106,Bethania,NC
27812,Bethel,NC
28518,Beulaville,NC
27209,Biscoe,NC
27813,"Black Creek",NC
27893,"Black Creek",NC
28711,"Black Mountain",NC
28778,"Black Mountain",NC
28320,Bladenboro,NC
27212,Blanch,NC
27814,"Blounts Creek",NC
28605,"Blowing Rock",NC
28017,"Boiling Springs",NC
28152,"Boiling Springs",NC
28422,Bolivia,NC
28423,Bolton,NC
27213,Bonlee,NC
28606,Boomer,NC
28607,Boone,NC
28608,Boone,NC
27011,Boonville,NC
28018,Bostic,NC
28902,Brasstown,NC
28712,Brevard,NC
28768,Brevard,NC
28519,Bridgeton,NC
28560,Bridgeton,NC
27505,Broadway,NC
27214,"Browns Summit",NC
28424,Brunswick,NC
28472,Brunswick,NC
28713,"Bryson City",NC
27506,"Buies Creek",NC
27546,"Buies Creek",NC
27507,Bullock,NC
27508,Bunn,NC
28323,Bunnlevel,NC
28425,Burgaw,NC
27215,Burlington,NC
27216,Burlington,NC
27217,Burlington,NC
27220,Burlington,NC
27244,Burlington,NC
27253,Burlington,NC
27377,Burlington,NC
28714,Burnsville,NC
27509,Butner,NC
27522,Butner,NC
27581,Butner,NC
27920,Buxton,NC
27228,Bynum,NC
28467,Calabash,NC
28468,Calabash,NC
28325,Calypso,NC
28365,Calypso,NC
27921,Camden,NC
28326,Cameron,NC
28542,"Camp Lejeune",NC
28715,Candler,NC
27209,Candor,NC
27229,Candor,NC
28716,Canton,NC
28019,Caroleen,NC
28040,Caroleen,NC
28043,Caroleen,NC
28076,Caroleen,NC
28114,Caroleen,NC
28428,"Carolina Beach",NC
27510,Carrboro,NC
27516,Carrboro,NC
28326,Carthage,NC
28327,Carthage,NC
28374,Carthage,NC
27511,Cary,NC
27512,Cary,NC
27513,Cary,NC
27518,Cary,NC
27519,Cary,NC
27523,Cary,NC
27539,Cary,NC
27560,Cary,NC
27606,Cary,NC
27607,Cary,NC
28020,Casar,NC
28717,Cashiers,NC
27816,Castalia,NC
28429,"Castle Hayne",NC
28609,Catawba,NC
28610,Catawba,NC
27230,"Cedar Falls",NC
27231,"Cedar Grove",NC
28520,"Cedar Island",NC
28718,"Cedar Mountain",NC
28430,"Cerro Gordo",NC
28431,Chadbourn,NC
27514,"Chapel Hill",NC
27515,"Chapel Hill",NC
27516,"Chapel Hill",NC
27517,"Chapel Hill",NC
27599,"Chapel Hill",NC
27707,"Chapel Hill",NC
28078,Charlotte,NC
28105,Charlotte,NC
28126,Charlotte,NC
28130,Charlotte,NC
28134,Charlotte,NC
28201,Charlotte,NC
28202,Charlotte,NC
28203,Charlotte,NC
28204,Charlotte,NC
28205,Charlotte,NC
28206,Charlotte,NC
28207,Charlotte,NC
28208,Charlotte,NC
28209,Charlotte,NC
28210,Charlotte,NC
28211,Charlotte,NC
28212,Charlotte,NC
28213,Charlotte,NC
28214,Charlotte,NC
28215,Charlotte,NC
28216,Charlotte,NC
28217,Charlotte,NC
28218,Charlotte,NC
28219,Charlotte,NC
28220,Charlotte,NC
28221,Charlotte,NC
28222,Charlotte,NC
28223,Charlotte,NC
28224,Charlotte,NC
28226,Charlotte,NC
28227,Charlotte,NC
28228,Charlotte,NC
28229,Charlotte,NC
28230,Charlotte,NC
28231,Charlotte,NC
28232,Charlotte,NC
28233,Charlotte,NC
28234,Charlotte,NC
28235,Charlotte,NC
28236,Charlotte,NC
28237,Charlotte,NC
28241,Charlotte,NC
28242,Charlotte,NC
28243,Charlotte,NC
28247,Charlotte,NC
28250,Charlotte,NC
28253,Charlotte,NC
28255,Charlotte,NC
28256,Charlotte,NC
28258,Charlotte,NC
