zipcode,city,state
68001,Abie,NE
68301,Adams,NE
69210,Ainsworth,NE
68620,Albion,NE
68810,Alda,NE
68303,Alexandria,NE
68710,Allen,NE
69301,Alliance,NE
68920,Alma,NE
68304,Alvo,NE
68711,Amelia,NE
68621,Ames,NE
68812,Amherst,NE
69331,Angora,NE
68813,Anselmo,NE
68814,Ansley,NE
68922,Arapahoe,NE
68815,Arcadia,NE
68816,Archer,NE
68002,Arlington,NE
69120,Arnold,NE
69121,Arthur,NE
69333,Ashby,NE
68003,Ashland,NE
68817,Ashton,NE
68713,Atkinson,NE
68923,Atlanta,NE
68305,Auburn,NE
68818,Aurora,NE
68307,Avoca,NE
68924,Axtell,NE
68925,Ayr,NE
68004,Bancroft,NE
68309,Barneston,NE
68622,Bartlett,NE
69020,Bartley,NE
68714,Bassett,NE
68701,"Battle Creek",NE
68715,"Battle Creek",NE
69334,Bayard,NE
68310,Beatrice,NE
68926,"Beaver City",NE
68313,"Beaver Crossing",NE
68314,Bee,NE
68716,Beemer,NE
68717,Belden,NE
68623,Belgrade,NE
68005,Bellevue,NE
68123,Bellevue,NE
68133,Bellevue,NE
68147,Bellevue,NE
68157,Bellevue,NE
68624,Bellwood,NE
68315,Belvidere,NE
68316,Benedict,NE
69021,Benkelman,NE
68317,Bennet,NE
68007,Bennington,NE
68927,Bertrand,NE
69122,"Big Springs",NE
69335,Bingham,NE
68928,Bladen,NE
68008,Blair,NE
68009,Blair,NE
68718,Bloomfield,NE
68929,Bloomington,NE
68939,Bloomington,NE
68930,"Blue Hill",NE
68318,"Blue Springs",NE
68820,Boelus,NE
68010,"Boys Town",NE
68319,Bradshaw,NE
69123,Brady,NE
68626,Brainard,NE
68821,Brewster,NE
69336,Bridgeport,NE
68719,Bristow,NE
69125,Broadwater,NE
68320,Brock,NE
68822,"Broken Bow",NE
68321,Brownville,NE
69127,Brule,NE
68322,Bruning,NE
68014,Bruno,NE
68720,Brunswick,NE
68323,Burchard,NE
68324,Burr,NE
68823,Burwell,NE
69128,Bushnell,NE
69145,Bushnell,NE
68722,Butte,NE
68325,Byron,NE
68824,Cairo,NE
68825,Callaway,NE
69022,Cambridge,NE
68932,Campbell,NE
68326,Carleton,NE
68723,Carroll,NE
68015,"Cedar Bluffs",NE
68016,"Cedar Creek",NE
68627,"Cedar Rapids",NE
68018,Center,NE
68066,Center,NE
68626,Center,NE
68632,Center,NE
68724,Center,NE
68826,"Central City",NE
68017,Ceresco,NE
69337,Chadron,NE
68725,Chambers,NE
69023,Champion,NE
68065,Chapman,NE
68066,Chapman,NE
68070,Chapman,NE
68827,Chapman,NE
69129,Chappell,NE
68036,Chester,NE
