zipcode,city,state
12404,Accord,NY
12405,Acra,NY
13605,Adams,NY
14410,"Adams Basin",NY
13606,"Adams Center",NY
14801,Addison,NY
12808,Adirondack,NY
13730,Afton,NY
14001,Akron,NY
14038,Akron,NY
12201,Albany,NY
12202,Albany,NY
12203,Albany,NY
12204,Albany,NY
12205,Albany,NY
12206,Albany,NY
12207,Albany,NY
12208,Albany,NY
12209,Albany,NY
12210,Albany,NY
12211,Albany,NY
12212,Albany,NY
12214,Albany,NY
12220,Albany,NY
12222,Albany,NY
12224,Albany,NY
12225,Albany,NY
12227,Albany,NY
12228,Albany,NY
12229,Albany,NY
12230,Albany,NY
12231,Albany,NY
12232,Albany,NY
12233,Albany,NY
12234,Albany,NY
12235,Albany,NY
12236,Albany,NY
12237,Albany,NY
12238,Albany,NY
12239,Albany,NY
12240,Albany,NY
12241,Albany,NY
12242,Albany,NY
12243,Albany,NY
12244,Albany,NY
12245,Albany,NY
12246,Albany,NY
12248,Albany,NY
12249,Albany,NY
12250,Albany,NY
12252,Albany,NY
12255,Albany,NY
12256,Albany,NY
12257,Albany,NY
12261,Albany,NY
12288,Albany,NY
11507,Albertson,NY
11577,Albertson,NY
13131,Albion,NY
13142,Albion,NY
13144,Albion,NY
13302,Albion,NY
13493,Albion,NY
14411,Albion,NY
12007,Alcove,NY
14004,Alden,NY
13301,"Alder Creek",NY
14005,Alexander,NY
13607,"Alexandria Bay",NY
14802,Alfred,NY
14803,Alfred,NY
14803,"Alfred Station",NY
14706,Allegany,NY
14707,Allentown,NY
14707,Alma,NY
14708,Alma,NY
14715,Alma,NY
14895,Alma,NY
14804,Almond,NY
14843,Almond,NY
14805,Alpine,NY
12008,Alplaus,NY
12009,Altamont,NY
13302,Altmar,NY
14413,Alton,NY
12910,Altona,NY
12935,Altona,NY
12958,Altona,NY
12992,Altona,NY
11930,Amagansett,NY
11937,Amagansett,NY
10501,Amawalk,NY
12501,Amenia,NY
12522,Amenia,NY
12545,Amenia,NY
12592,Amenia,NY
11701,Amityville,NY
12010,Amsterdam,NY
12069,Amsterdam,NY
12502,Ancram,NY
12503,Ancram,NY
12516,Ancram,NY
12546,Ancram,NY
12567,Ancram,NY
12503,Ancramdale,NY
12455,Andes,NY
12776,Andes,NY
13731,Andes,NY
13752,Andes,NY
14806,Andover,NY
14709,Angelica,NY
14006,Angola,NY
12504,"Annandale On Hudson",NY
13608,Antwerp,NY
13732,Apalachin,NY
14008,Appleton,NY
13020,"Apulia Station",NY
11901,Aquebogue,NY
11931,Aquebogue,NY
14009,Arcade,NY
10910,Arden,NY
10502,Ardsley,NY
10503,"Ardsley On Hudson",NY
12809,Argyle,NY
14807,Arkport,NY
12406,Arkville,NY
10504,Armonk,NY
11692,Arverne,NY
12407,Ashland,NY
12468,Ashland,NY
12496,Ashland,NY
14861,Ashland,NY
14894,Ashland,NY
14901,Ashland,NY
14710,Ashville,NY
11101,Astoria,NY
12015,Athens,NY
12810,Athol,NY
14010,"Athol Springs",NY
14808,Atlanta,NY
11509,"Atlantic Beach",NY
14011,Attica,NY
12912,"Au Sable Forks",NY
13021,Auburn,NY
13022,Auburn,NY
13024,Auburn,NY
12016,Auriesville,NY
13026,Aurora,NY
14052,Aurora,NY
14127,Aurora,NY
14139,Aurora,NY
14169,Aurora,NY
14170,Aurora,NY
12017,Austerlitz,NY
12037,Austerlitz,NY
12060,Austerlitz,NY
12075,Austerlitz,NY
12165,Austerlitz,NY
12529,Austerlitz,NY
13303,Ava,NY
13309,Ava,NY
13471,Ava,NY
13489,Ava,NY
12018,"Averill Park",NY
12153,"Averill Park",NY
14809,Avoca,NY
14414,Avon,NY
11702,Babylon,NY
13733,Bainbridge,NY
12811,"Bakers Mills",NY
11510,Baldwin,NY
11575,Baldwin,NY
14838,Baldwin,NY
14859,Baldwin,NY
14861,Baldwin,NY
14901,Baldwin,NY
10505,"Baldwin Place",NY
13027,Baldwinsville,NY
12019,"Ballston Lake",NY
12020,"Ballston Spa",NY
12506,Bangall,NY
13744,Barker,NY
13746,Barker,NY
13777,Barker,NY
13862,Barker,NY
13905,Barker,NY
14012,Barker,NY
13304,Barneveld,NY
12507,Barrytown,NY
12719,Barryville,NY
13734,Barton,NY
14859,Barton,NY
14883,Barton,NY
14889,Barton,NY
14892,Barton,NY
14013,Basom,NY
14020,Batavia,NY
14021,Batavia,NY
14810,Bath,NY
11706,"Bay Shore",NY
11705,Bayport,NY
11715,Bayport,NY
11772,Bayport,NY
11359,Bayside,NY
11709,Bayville,NY
12508,Beacon,NY
10911,"Bear Mountain",NY
12409,Bearsville,NY
14812,"Beaver Dams",NY
13305,"Beaver Falls",NY
10506,Bedford,NY
10507,Bedford,NY
10536,Bedford,NY
10549,Bedford,NY
10576,Bedford,NY
10507,"Bedford Hills",NY
14711,Belfast,NY
14714,Belfast,NY
14717,Belfast,NY
14739,Belfast,NY
14813,Belfast,NY
11001,Bellerose,NY
13605,Belleville,NY
13650,Belleville,NY
11710,Bellmore,NY
14415,Bellona,NY
11713,Bellport,NY
10912,Bellvale,NY
14813,Belmont,NY
14712,"Bemus Point",NY
14416,Bergen,NY
13736,Berkshire,NY
13811,Berkshire,NY
12022,Berlin,NY
12040,Berlin,NY
12138,Berlin,NY
12153,Berlin,NY
12168,Berlin,NY
12009,Berne,NY
12023,Berne,NY
12059,Berne,NY
12122,Berne,NY
12147,Berne,NY
12186,Berne,NY
12193,Berne,NY
13028,"Bernhards Bay",NY
12701,Bethel,NY
12720,Bethel,NY
12726,Bethel,NY
12734,Bethel,NY
12748,Bethel,NY
12749,Bethel,NY
12762,Bethel,NY
12778,Bethel,NY
