zipcode,city,state
29620,Abbeville,SC
29426,"Adams Run",SC
29801,Aiken,SC
29802,Aiken,SC
29803,Aiken,SC
29804,Aiken,SC
29808,Aiken,SC
29851,Aiken,SC
29001,Alcolu,SC
29810,Allendale,SC
29621,Anderson,SC
29622,Anderson,SC
29623,Anderson,SC
29624,Anderson,SC
29625,Anderson,SC
29626,Anderson,SC
29510,Andrews,SC
29301,Arcadia,SC
29320,Arcadia,SC
29336,Arcadia,SC
29429,Awendaw,SC
29458,Awendaw,SC
29511,Aynor,SC
29544,Aynor,SC
29002,Ballentine,SC
29003,Bamberg,SC
29812,Barnwell,SC
29006,Batesburg,SC
29816,Bath,SC
29901,Beaufort,SC
29902,Beaufort,SC
29903,Beaufort,SC
29904,Beaufort,SC
29905,Beaufort,SC
29906,Beaufort,SC
29907,Beaufort,SC
29935,Beaufort,SC
29940,Beaufort,SC
29941,Beaufort,SC
29841,"Beech Island",SC
29627,Belton,SC
29512,Bennettsville,SC
29430,Bethera,SC
29009,Bethune,SC
29010,Bishopville,SC
29702,Blacksburg,SC
29014,Blackstock,SC
29817,Blackville,SC
29015,Blair,SC
29512,Blenheim,SC
29516,Blenheim,SC
29909,Bluffton,SC
29910,Bluffton,SC
29927,Bluffton,SC
29016,Blythewood,SC
29130,Blythewood,SC
29431,Bonneau,SC
29703,"Bowling Green",SC
29018,Bowman,SC
29819,Bradley,SC
29432,Branchville,SC
29911,Brunson,SC
29321,Buffalo,SC
29518,Cades,SC
29628,"Calhoun Falls",SC
29020,Camden,SC
29030,Cameron,SC
29322,Campobello,SC
29433,Canadys,SC
29031,Carlisle,SC
29032,Cassatt,SC
29704,Catawba,SC
29730,Catawba,SC
29033,Cayce,SC
29170,Cayce,SC
29172,Cayce,SC
29201,Cayce,SC
29209,Cayce,SC
29519,Centenary,SC
29630,Central,SC
29036,Chapin,SC
29037,Chappells,SC
29401,Charleston,SC
29402,Charleston,SC
29403,Charleston,SC
29405,Charleston,SC
29407,Charleston,SC
29409,Charleston,SC
29412,Charleston,SC
29413,Charleston,SC
29414,Charleston,SC
29415,Charleston,SC
29416,Charleston,SC
29417,Charleston,SC
29422,Charleston,SC
29423,Charleston,SC
29424,Charleston,SC
29425,Charleston,SC
29445,Charleston,SC
29450,Charleston,SC
29455,Charleston,SC
29457,Charleston,SC
29464,Charleston,SC
29492,Charleston,SC
29404,"Charleston Afb",SC
29520,Cheraw,SC
29323,Chesnee,SC
29706,Chester,SC
29709,Chesterfield,SC
29821,"Clarks Hill",SC
29822,Clearwater,SC
29841,Clearwater,SC
29842,Clearwater,SC
29630,Clemson,SC
29631,Clemson,SC
29632,Clemson,SC
29633,Clemson,SC
29634,Clemson,SC
29635,Cleveland,SC
29307,Clifton,SC
29324,Clifton,SC
29325,Clinton,SC
29525,Clio,SC
29703,Clover,SC
29710,Clover,SC
29044,Columbia,SC
29045,Columbia,SC
29061,Columbia,SC
29063,Columbia,SC
29147,Columbia,SC
29201,Columbia,SC
29202,Columbia,SC
29203,Columbia,SC
29204,Columbia,SC
29205,Columbia,SC
29206,Columbia,SC
29207,Columbia,SC
29208,Columbia,SC
29209,Columbia,SC
29210,Columbia,SC
29211,Columbia,SC
29212,Columbia,SC
29214,Columbia,SC
29215,Columbia,SC
29216,Columbia,SC
29217,Columbia,SC
29218,Columbia,SC
29219,Columbia,SC
29220,Columbia,SC
29221,Columbia,SC
29223,Columbia,SC
29224,Columbia,SC
29225,Columbia,SC
29226,Columbia,SC
29227,Columbia,SC
29228,Columbia,SC
29229,Columbia,SC
29230,Columbia,SC
29240,Columbia,SC
29250,Columbia,SC
29260,Columbia,SC
29290,Columbia,SC
29292,Columbia,SC
29636,Conestee,SC
29307,Converse,SC
29329,Converse,SC
29526,Conway,SC
29527,Conway,SC
29528,Conway,SC
29912,Coosawatchie,SC
29038,Cope,SC
29434,Cordesville,SC
29039,Cordova,SC
29435,Cottageville,SC
29530,Coward,SC
29591,Coward,SC
29330,Cowpens,SC
29913,Crocketville,SC
29436,Cross,SC
29331,"Cross Anchor",SC
29335,"Cross Anchor",SC
29332,"Cross Hill",SC
29914,Dale,SC
29040,Dalzell,SC
29153,Dalzell,SC
29532,Darlington,SC
29915,"Daufuskie Island",SC
29041,"Davis Station",SC
29042,Denmark,SC
29536,Dillon,SC
29638,Donalds,SC
29437,Dorchester,SC
29333,Drayton,SC
29639,"Due West",SC
29334,Duncan,SC
29365,Duncan,SC
29377,Duncan,SC
29385,Duncan,SC
29390,Duncan,SC
29391,Duncan,SC
29916,"Early Branch",SC
29640,Easley,SC
29641,Easley,SC
29642,Easley,SC
29044,Eastover,SC
29824,Edgefield,SC
29712,Edgemoor,SC
29438,"Edisto Island",SC
29541,Effingham,SC
29081,Ehrhardt,SC
29045,Elgin,SC
29720,Elgin,SC
29826,Elko,SC
29853,Elko,SC
29046,Elliott,SC
29047,Elloree,SC
29335,Enoree,SC
29918,Estill,SC
29048,Eutawville,SC
29643,"Fair Play",SC
29827,Fairfax,SC
29301,Fairforest,SC
29338,Fingerville,SC
29349,Fingerville,SC
29501,Florence,SC
29502,Florence,SC
29503,Florence,SC
29504,Florence,SC
29505,Florence,SC
29506,Florence,SC
29541,Florence,SC
29536,"Floyd Dale",SC
29412,"Folly Beach",SC
29439,"Folly Beach",SC
29543,Fork,SC
29714,"Fort Lawn",SC
29708,"Fort Mill",SC
29715,"Fort Mill",SC
29716,"Fort Mill",SC
29644,"Fountain Inn",SC
29681,"Fountain Inn",SC
29918,Furman,SC
29921,Furman,SC
29051,Gable,SC
29052,Gadsden,SC
29061,Gadsden,SC
29340,Gaffney,SC
29341,Gaffney,SC
29342,Gaffney,SC
29544,"Galivants Ferry",SC
29922,Garnett,SC
29053,Gaston,SC
29440,Georgetown,SC
29442,Georgetown,SC
29923,Gifford,SC
29054,Gilbert,SC
29346,Glendale,SC
29828,Gloverville,SC
29851,Gloverville,SC
29410,"Goose Creek",SC
29445,"Goose Creek",SC
29456,"Goose Creek",SC
29461,"Goose Creek",SC
29483,"Goose Creek",SC
29322,Gramling,SC
29348,Gramling,SC
29349,Gramling,SC
29829,Graniteville,SC
29850,Graniteville,SC
29851,Graniteville,SC
29645,"Gray Court",SC
29055,"Great Falls",SC
29056,Greeleyville,SC
29446,"Green Pond",SC
29545,"Green Sea",SC
29601,Greenville,SC
29602,Greenville,SC
29603,Greenville,SC
29604,Greenville,SC
29605,Greenville,SC
29606,Greenville,SC
29607,Greenville,SC
29608,Greenville,SC
29609,Greenville,SC
29610,Greenville,SC
29611,Greenville,SC
29612,Greenville,SC
29613,Greenville,SC
29614,Greenville,SC
29615,Greenville,SC
29616,Greenville,SC
29646,Greenwood,SC
29647,Greenwood,SC
29648,Greenwood,SC
29649,Greenwood,SC
29334,Greer,SC
29650,Greer,SC
29651,Greer,SC
29652,Greer,SC
29687,Greer,SC
29546,Gresham,SC
29447,Grover,SC
29547,Hamer,SC
29924,Hampton,SC
29944,Hampton,SC
29909,Hardeeville,SC
29927,Hardeeville,SC
29936,Hardeeville,SC
29448,Harleyville,SC
29550,Hartsville,SC
29551,Hartsville,SC
29058,"Heath Springs",SC
29554,Hemingway,SC
29717,"Hickory Grove",SC
29812,Hilda,SC
29813,Hilda,SC
29817,Hilda,SC
29925,"Hilton Head Island",SC
29926,"Hilton Head Island",SC
29928,"Hilton Head Island",SC
29938,"Hilton Head Island",SC
29653,Hodges,SC
29695,Hodges,SC
29059,"Holly Hill",SC
29449,Hollywood,SC
29455,Hollywood,SC
29470,Hollywood,SC
29654,"Honea Path",SC
29061,Hopkins,SC
29062,Horatio,SC
29450,Huger,SC
29349,Inman,SC
29063,Irmo,SC
29212,Irmo,SC
29929,Islandton,SC
29451,"Isle of Palms",SC
29655,Iva,SC
29831,Jackson,SC
29452,Jacksonboro,SC
29474,Jacksonboro,SC
29453,Jamestown,SC
29718,Jefferson,SC
29065,Jenkinsville,SC
29351,Joanna,SC
29355,Joanna,SC
29455,"Johns Island",SC
29555,Johnsonville,SC
29832,Johnston,SC
29353,Jonesville,SC
29395,Jonesville,SC
29067,Kershaw,SC
29355,Kinards,SC
29556,Kingstree,SC
29656,"La France",SC
29456,Ladson,SC
29483,Ladson,SC
29907,"Ladys Island",SC
29560,"Lake City",SC
29591,"Lake City",SC
29563,"Lake View",SC
29069,Lamar,SC
29720,Lancaster,SC
29721,Lancaster,SC
29722,Lancaster,SC
29724,Lando,SC
29356,Landrum,SC
29564,Lane,SC
29834,Langley,SC
29851,Langley,SC
29565,Latta,SC
29360,Laurens,SC
29070,Leesville,SC
29071,Lexington,SC
29072,Lexington,SC
29073,Lexington,SC
29657,Liberty,SC
29074,"Liberty Hill",SC
29075,"Little Mountain",SC
29566,"Little River",SC
29567,"Little Rock",SC
29931,Lobeco,SC
29364,Lockhart,SC
29082,Lodge,SC
29658,"Long Creek",SC
29568,Longs,SC
29569,Loris,SC
29655,Lowndesville,SC
29659,Lowndesville,SC
29078,Lugoff,SC
29932,Luray,SC
29069,Lydia,SC
29079,Lydia,SC
29550,Lydia,SC
29334,Lyman,SC
29349,Lyman,SC
29365,Lyman,SC
29385,Lyman,SC
29080,Lynchburg,SC
29102,Manning,SC
29661,Marietta,SC
29571,Marion,SC
29574,Marion,SC
29836,Martin,SC
29607,Mauldin,SC
29662,Mauldin,SC
29681,Mauldin,SC
29104,Mayesville,SC
29323,Mayo,SC
29330,Mayo,SC
29368,Mayo,SC
29101,"Mc Bee",SC
29458,"Mc Clellanville",SC
29570,"Mc Coll",SC
29726,"Mc Connells",SC
29835,"Mc Cormick",SC
29933,Miley,SC
29573,Minturn,SC
29838,Modoc,SC
29461,"Moncks Corner",SC
29105,Monetta,SC
29839,Montmorenci,SC
29369,Moore,SC
29840,"Mount Carmel",SC
29848,"Mount Carmel",SC
29727,"Mount Croghan",SC
29429,"Mount Pleasant",SC
29464,"Mount Pleasant",SC
29465,"Mount Pleasant",SC
29466,"Mount Pleasant",SC
29664,"Mountain Rest",SC
29370,Mountville,SC
29574,Mullins,SC
29576,"Murrells Inlet",SC
29568,"Myrtle Beach",SC
29572,"Myrtle Beach",SC
29577,"Myrtle Beach",SC
29578,"Myrtle Beach",SC
29587,"Myrtle Beach",SC
29107,Neeses,SC
29580,Nesmith,SC
29803,"New Ellenton",SC
29809,"New Ellenton",SC
29111,"New Zion",SC
29108,Newberry,SC
29665,Newry,SC
29672,Newry,SC
29581,Nichols,SC
29666,"Ninety Six",SC
29630,Norris,SC
29657,Norris,SC
29667,Norris,SC
29112,North,SC
29841,"North Augusta",SC
29842,"North Augusta",SC
29860,"North Augusta",SC
29861,"North Augusta",SC
29404,"North Charleston",SC
29405,"North Charleston",SC
29406,"North Charleston",SC
29418,"North Charleston",SC
29419,"North Charleston",SC
29420,"North Charleston",SC
29456,"North Charleston",SC
29483,"North Charleston",SC
29485,"North Charleston",SC
29526,"North Myrtle Beach",SC
29566,"North Myrtle Beach",SC
29568,"North Myrtle Beach",SC
29572,"North Myrtle Beach",SC
29579,"North Myrtle Beach",SC
29582,"North Myrtle Beach",SC
29597,"North Myrtle Beach",SC
29598,"North Myrtle Beach",SC
29113,Norway,SC
29909,Okatie,SC
29114,Olanta,SC
29843,Olar,SC
29115,Orangeburg,SC
29116,Orangeburg,SC
29117,Orangeburg,SC
29118,Orangeburg,SC
29372,Pacolet,SC
29373,Pacolet,SC
29373,"Pacolet Mills",SC
29728,Pageland,SC
29583,Pamplico,SC
29844,Parksville,SC
29845,Parksville,SC
29584,Patrick,SC
29374,Pauline,SC
29585,"Pawleys Island",SC
29075,Peak,SC
29122,Peak,SC
29123,Pelion,SC
29669,Pelzer,SC
29670,Pendleton,SC
29671,Pickens,SC
29673,Piedmont,SC
29934,Pineland,SC
29468,Pineville,SC
29125,Pinewood,SC
29461,Pinopolis,SC
29469,Pinopolis,SC
29845,"Plum Branch",SC
29126,Pomaria,SC
29902,"Port Royal",SC
29905,"Port Royal",SC
29906,"Port Royal",SC
29907,"Port Royal",SC
29909,"Port Royal",SC
29935,"Port Royal",SC
29127,Prosperity,SC
29589,Rains,SC
29449,Ravenel,SC
29470,Ravenel,SC
29471,Reevesville,SC
29334,Reidville,SC
29369,Reidville,SC
29375,Reidville,SC
29388,Reidville,SC
29128,Rembert,SC
29729,Richburg,SC
29675,Richland,SC
29129,"Ridge Spring",SC
29909,Ridgeland,SC
29936,Ridgeland,SC
29472,Ridgeville,SC
29130,Ridgeway,SC
29132,Rion,SC
29730,"Rock Hill",SC
29731,"Rock Hill",SC
29732,"Rock Hill",SC
29733,"Rock Hill",SC
29306,Roebuck,SC
29369,Roebuck,SC
29376,Roebuck,SC
29474,"Round O",SC
29133,Rowesville,SC
29741,Ruby,SC
29475,Ruffin,SC
29476,Russellville,SC
29479,Russellville,SC
29477,"Saint George",SC
29920,"Saint Helena Island",SC
29135,"Saint Matthews",SC
29479,"Saint Stephen",SC
29676,Salem,SC
29137,Salley,SC
29590,Salters,SC
29138,Saluda,SC
29677,"Sandy Springs",SC
29142,Santee,SC
29143,Sardinia,SC
29918,Scotia,SC
29939,Scotia,SC
29591,Scranton,SC
29914,Seabrook,SC
29592,Sellers,SC
29672,Seneca,SC
29678,Seneca,SC
29679,Seneca,SC
29742,Sharon,SC
29152,"Shaw A F B",SC
29941,Sheldon,SC
29145,Silverstreet,SC
29680,Simpsonville,SC
29681,Simpsonville,SC
29630,"Six Mile",SC
29682,"Six Mile",SC
29683,Slater,SC
29481,Smoaks,SC
29743,Smyrna,SC
29593,"Society Hill",SC
29301,Spartanburg,SC
29302,Spartanburg,SC
29303,Spartanburg,SC
29304,Spartanburg,SC
29305,Spartanburg,SC
29306,Spartanburg,SC
29307,Spartanburg,SC
29319,Spartanburg,SC
29369,Spartanburg,SC
29146,Springfield,SC
29684,Starr,SC
29334,Startex,SC
29377,Startex,SC
29385,Startex,SC
29147,"State Park",SC
29482,"Sullivans Island",SC
29148,Summerton,SC
29456,Summerville,SC
29483,Summerville,SC
29484,Summerville,SC
29485,Summerville,SC
29040,Sumter,SC
29150,Sumter,SC
29151,Sumter,SC
29152,Sumter,SC
29153,Sumter,SC
29154,Sumter,SC
29685,Sunset,SC
29160,Swansea,SC
29827,Sycamore,SC
29846,Sycamore,SC
29686,Tamassee,SC
29594,Tatum,SC
29609,Taylors,SC
29615,Taylors,SC
29650,Taylors,SC
29687,Taylors,SC
29687,Tigerville,SC
29688,Tigerville,SC
29690,Tigerville,SC
29943,Tillman,SC
29161,Timmonsville,SC
29689,Townville,SC
29617,"Travelers Rest",SC
29690,"Travelers Rest",SC
29847,Trenton,SC
29848,Troy,SC
29162,Turbeville,SC
29849,Ulmer,SC
29378,Una,SC
29379,Union,SC
29744,"Van Wyck",SC
29163,Vance,SC
29924,Varnville,SC
29944,Varnville,SC
29850,Vaucluse,SC
29487,"Wadmalaw Island",SC
29164,Wagener,SC
29691,Walhalla,SC
29696,Walhalla,SC
29596,Wallace,SC
29488,Walterboro,SC
29166,Ward,SC
29692,"Ware Shoals",SC
29851,Warrenville,SC
29384,Waterloo,SC
29168,Wedgefield,SC
29301,Wellford,SC
29349,Wellford,SC
29365,Wellford,SC
29385,Wellford,SC
29073,"West Columbia",SC
29169,"West Columbia",SC
29171,"West Columbia",SC
29691,"West Union",SC
29696,"West Union",SC
29693,Westminster,SC
29175,Westville,SC
29177,"White Rock",SC
29386,"White Stone",SC
29178,Whitmire,SC
29493,Williams,SC
29669,Williamston,SC
29697,Williamston,SC
29853,Williston,SC
29856,Windsor,SC
