zipcode,city,state
37010,Adams,TN
37032,Adams,TN
38310,Adamsville,TN
37616,Afton,TN
38001,Alamo,TN
37701,Alcoa,TN
37777,Alcoa,TN
37801,Alcoa,TN
37804,Alcoa,TN
37853,Alcoa,TN
37920,Alcoa,TN
37012,Alexandria,TN
38504,Allardt,TN
38556,Allardt,TN
38541,Allons,TN
38542,Allred,TN
38543,Alpine,TN
37301,Altamont,TN
37305,Altamont,TN
37705,Andersonville,TN
37011,Antioch,TN
37302,Apison,TN
37311,Apison,TN
37353,Apison,TN
38449,Ardmore,TN
38477,Ardmore,TN
38002,Arlington,TN
38028,Arlington,TN
37389,"Arnold Afb",TN
37014,Arrington,TN
37707,Arthur,TN
37015,"Ashland City",TN
37303,Athens,TN
37371,Athens,TN
37826,Athens,TN
38004,Atoka,TN
38011,Atoka,TN
38053,Atoka,TN
38220,Atwood,TN
37016,Auburntown,TN
37304,Bakewell,TN
38311,"Bath Springs",TN
38501,Baxter,TN
38506,Baxter,TN
38544,Baxter,TN
37708,"Bean Station",TN
37811,"Bean Station",TN
38313,"Beech Bluff",TN
37018,Beechgrove,TN
37301,"Beersheba Springs",TN
37305,"Beersheba Springs",TN
37019,Belfast,TN
37020,"Bell Buckle",TN
38006,Bells,TN
37306,Belvidere,TN
37307,Benton,TN
38315,"Bethel Springs",TN
37022,Bethpage,TN
37023,"Big Rock",TN
38221,"Big Sandy",TN
37308,Birchwood,TN
37709,Blaine,TN
38545,"Bloomington Springs",TN
37617,Blountville,TN
37618,"Bluff City",TN
37686,"Bluff City",TN
38007,Bogota,TN
38008,Bolivar,TN
37025,"Bon Aqua",TN
38010,Braden,TN
38049,Braden,TN
38316,Bradford,TN
37026,Bradyville,TN
37024,Brentwood,TN
37027,Brentwood,TN
37067,Brentwood,TN
37710,Briceville,TN
38011,Brighton,TN
24205,Bristol,TN
37617,Bristol,TN
37618,Bristol,TN
37620,Bristol,TN
37621,Bristol,TN
37625,Bristol,TN
38012,Brownsville,TN
38317,Bruceton,TN
38342,Bruceton,TN
38014,Brunswick,TN
38547,"Brush Creek",TN
38222,Buchanan,TN
38318,"Buena Vista",TN
38548,"Buffalo Valley",TN
37711,"Bulls Gap",TN
37028,"Bumpus Mills",TN
38015,Burlison,TN
37029,Burns,TN
37055,Burns,TN
37640,Butler,TN
37713,Bybee,TN
38549,Byrdstown,TN
37309,Calhoun,TN
38320,Camden,TN
38550,Campaign,TN
37030,Carthage,TN
37714,Caryville,TN
37757,Caryville,TN
37766,Caryville,TN
37847,Caryville,TN
37031,"Castalian Springs",TN
38321,"Cedar Grove",TN
37032,"Cedar Hill",TN
38551,Celina,TN
37033,Centerville,TN
37137,Centerville,TN
37034,"Chapel Hill",TN
37035,Chapmansboro,TN
37310,Charleston,TN
37036,Charlotte,TN
37341,Chattanooga,TN
37343,Chattanooga,TN
37350,Chattanooga,TN
37351,Chattanooga,TN
37363,Chattanooga,TN
37377,Chattanooga,TN
37401,Chattanooga,TN
37402,Chattanooga,TN
37403,Chattanooga,TN
37404,Chattanooga,TN
37405,Chattanooga,TN
37406,Chattanooga,TN
37407,Chattanooga,TN
37408,Chattanooga,TN
37409,Chattanooga,TN
37410,Chattanooga,TN
37411,Chattanooga,TN
37412,Chattanooga,TN
37414,Chattanooga,TN
37415,Chattanooga,TN
37416,Chattanooga,TN
37419,Chattanooga,TN
37421,Chattanooga,TN
37422,Chattanooga,TN
37424,Chattanooga,TN
38552,"Chestnut Mound",TN
38393,Chewalla,TN
37020,Christiana,TN
37037,Christiana,TN
37127,Christiana,TN
37128,Christiana,TN
37641,Chuckey,TN
37642,"Church Hill",TN
37715,Clairfield,TN
38553,Clarkrange,TN
38324,Clarksburg,TN
38344,Clarksburg,TN
38390,Clarksburg,TN
37040,Clarksville,TN
37041,Clarksville,TN
37042,Clarksville,TN
37043,Clarksville,TN
37044,Clarksville,TN
42223,Clarksville,TN
37311,Cleveland,TN
37312,Cleveland,TN
37320,Cleveland,TN
37323,Cleveland,TN
37353,Cleveland,TN
37364,Cleveland,TN
38425,Clifton,TN
37705,Clinton,TN
37716,Clinton,TN
37717,Clinton,TN
37719,Coalfield,TN
37748,Coalfield,TN
37840,Coalfield,TN
37313,Coalmont,TN
37387,Coalmont,TN
37314,Cokercreek,TN
37046,"College Grove",TN
37302,Collegedale,TN
37315,Collegedale,TN
37353,Collegedale,TN
37363,Collegedale,TN
38017,Collierville,TN
38027,Collierville,TN
38125,Collierville,TN
38139,Collierville,TN
38450,Collinwood,TN
37174,Columbia,TN
38401,Columbia,TN
38402,Columbia,TN
38223,Como,TN
37316,Conasauga,TN
38501,Cookeville,TN
38502,Cookeville,TN
38503,Cookeville,TN
38505,Cookeville,TN
38506,Cookeville,TN
37317,Copperhill,TN
38016,Cordova,TN
37047,Cornersville,TN
37091,Cornersville,TN
37721,Corryton,TN
37722,Cosby,TN
38224,"Cottage Grove",TN
37048,Cottontown,TN
37066,Cottontown,TN
38326,Counce,TN
38011,Covington,TN
38019,Covington,TN
37318,Cowan,TN
37723,"Crab Orchard",TN
38555,"Crab Orchard",TN
38554,Crawford,TN
38021,"Crockett Mills",TN
37048,"Cross Plains",TN
37049,"Cross Plains",TN
37188,"Cross Plains",TN
38555,Crossville,TN
38557,Crossville,TN
38571,Crossville,TN
38572,Crossville,TN
38310,Crump,TN
38327,Crump,TN
38451,Culleoka,TN
37050,"Cumberland City",TN
37051,"Cumberland Furnace",TN
37724,"Cumberland Gap",TN
37052,Cunningham,TN
38452,"Cypress Inn",TN
37725,Dandridge,TN
37760,Dandridge,TN
38328,Darden,TN
38351,Darden,TN
37321,Dayton,TN
37322,Decatur,TN
38329,Decaturville,TN
37324,Decherd,TN
